"Name","ExtraId","Control Name","Registry Key","Registry Value","Registry Value Type","CSP Name","CSP Path","CSP Value Type","Default Value: Domain Controller","Default Value: Member Server","Default Value: Workgroup Member","Allowed Value","Expected Value: Domain Controller","Expected Value: Member Server","Expected Value: Workgroup Member","Severity","Availability","Category"
"AllowUIAccessApplicationsToPromptForElevation","CCE-36863-9","User Account Control: Allow UIAccess applications to prompt for elevation without using the secure desktop","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","EnableUIADesktopToggle","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/UserAccountControl_AllowUIAccessApplicationsToPromptForElevation","Integer","0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"AmountOfIdleTimeRequiredBeforeSuspendingSession","CCE-38046-9","Microsoft network server: Amount of idle time required before suspending session","HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters","AutoDisconnect","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/MicrosoftNetworkServer_AmountOfIdleTimeRequiredBeforeSuspendingSession","Integer","15","15","15","Range(1, 15)","Range(1, 15)","Range(1, 15)","Range(1, 15)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"ApplicationIdentityStartupType",,"Application Identity","HKLM:\SYSTEM\CurrentControlSet\Services\AppIDSvc","Start","REG_DWORD",,,,"2","2","2","Range(0, 3)","Equals(2)","Equals(2)","Equals(2)","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"ApplicationManagementMSIAllowUserControlOverInstall","CCE-36400-0","Allow user control over installs","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Installer","EnableUserControl","REG_DWORD","./Vendor/MSFT/Policy","Config/ApplicationManagement/MSIAllowUserControlOverInstall","Integer","0","0","0","Range(0, 1)","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"ApplicationManagementMSIAlwaysInstallWithElevatedPrivileges","CCE-37490-0","Always install with elevated privileges","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Installer","AlwaysInstallElevated","REG_DWORD","./Vendor/MSFT/Policy","Config/ApplicationManagement/MSIAlwaysInstallWithElevatedPrivileges","Integer","0","0","0","Range(0, 1)","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"ApplyUACRestrictionsToLocalAccountsOnNetworkLogon","AZ-WIN-73495","Apply UAC restrictions to local accounts on network logons","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","LocalAccountTokenFilterPolicy","REG_DWORD",,,,,"0",,"Range(0, 1)",,"Equals(0)",,"Critical","Member Server","Registry"
"AppRuntimeAllowMicrosoftAccountsToBeOptional","CCE-38354-7","Allow Microsoft accounts to be optional","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","MSAOptional","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"AuditAccountLockout","CCE-37133-6","Audit Account Lockout",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogonLogoff_AuditAccountLockout","Integer","2","2","2","Range(0, 3)","OneOf(Equals(2), Equals(3))","OneOf(Equals(2), Equals(3))","OneOf(Equals(2), Equals(3))","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditAuthenticationPolicyChange","CCE-38327-3","Audit Authentication Policy Change",,,,"./Vendor/MSFT/Policy","Config/Audit/PolicyChange_AuditAuthenticationPolicyChange","Integer","1","1","1","Range(0, 3)","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditAuthorizationPolicyChange","CCE-36320-0","Audit Authorization Policy Change",,,,"./Vendor/MSFT/Policy","Config/Audit/PolicyChange_AuditAuthorizationPolicyChange","Integer","1","1","1","Range(0, 3)","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditBackupAndRestorePrivilege",,"Audit the use of Backup and Restore privilege","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa","FullPrivilegeAuditing","REG_BINARY","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/Audit_AuditTheUseOfBackupAndRestoreprivilege","Binary","MDA=","MDA=","MDA=","OneOf(Equals('MDA='), Equals('MQ=='))","Equals('MDA=')","Equals('MDA=')","Equals('MDA=')","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"AuditClientDoesNotSupportEncryption",,"Audit client does not support encryption","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","AuditClientDoesNotSupportEncryption","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"AuditClientDoesNotSupportSigning",,"Audit client does not support signing","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","AuditClientDoesNotSupportSigning","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"AuditComputerAccountManagement","CCE-38004-8","Audit Computer Account Management",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountManagement_AuditComputerAccountManagement","Integer","1",,,"Range(0, 3)","OneOf(Equals(1), Equals(3))",,,"Critical","Domain Controller","Audit Policy"
"AuditCredentialValidation","CCE-37741-6","Audit Credential Validation",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogon_AuditCredentialValidation","Integer","3","3","3","Range(0, 3)","Equals(3)","Equals(3)","Equals(3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditDetailedFileShare","AZ-WIN-00100","Audit Detailed File Share",,,,"./Vendor/MSFT/Policy","Config/Audit/ObjectAccess_AuditDetailedFileShare","Integer","2","2","2","Range(0, 3)","OneOf(Equals(2), Equals(3))","OneOf(Equals(2), Equals(3))","OneOf(Equals(2), Equals(3))","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditDirectoryServiceAccess","CCE-37433-0","Audit Directory Service Access",,,,"./Vendor/MSFT/Policy","Config/Audit/DSAccess_AuditDirectoryServiceAccess","Integer","2",,,"Range(0, 3)","OneOf(Equals(2), Equals(3))",,,"Critical","Domain Controller","Audit Policy"
"AuditDirectoryServiceChanges","CCE-37616-0","Audit Directory Service Changes",,,,"./Vendor/MSFT/Policy","Config/Audit/DSAccess_AuditDirectoryServiceChanges","Integer","1",,,"Range(0, 3)","OneOf(Equals(1), Equals(3))",,,"Critical","Domain Controller","Audit Policy"
"AuditDirectoryServiceReplication","AZ-WIN-00093","Audit Directory Service Replication",,,,"./Vendor/MSFT/Policy","Config/Audit/DSAccess_AuditDirectoryServiceReplication","Integer","0",,,"Range(0, 3)","Range(0, )",,,"Critical","Domain Controller","Audit Policy"
"AuditDistributionGroupManagement","CCE-36265-7","Audit Distribution Group Management",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountManagement_AuditDistributionGroupManagement","Integer","1",,,"Range(0, 3)","OneOf(Equals(1), Equals(3))",,,"Critical","Domain Controller","Audit Policy"
"AuditFileShare","AZ-WIN-00102","Audit File Share",,,,"./Vendor/MSFT/Policy","Config/Audit/ObjectAccess_AuditFileShare","Integer","3","3","3","Range(0, 3)","Equals(3)","Equals(3)","Equals(3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditGroupMembership","AZ-WIN-00026","Audit Group Membership",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogonLogoff_AuditGroupMembership","Integer","1","1","1","Range(0, 3)","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditInsecureGuestLogon",,"Audit insecure guest logon","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanServer","AuditInsecureGuestLogon","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"AuditIPsecDriver","CCE-37853-9","Audit IPsec Driver",,,,"./Vendor/MSFT/Policy","Config/Audit/System_AuditIPsecDriver","Integer","3","3","3","Range(0, 3)","Equals(3)","Equals(3)","Equals(3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditKerberosAuthenticationService","AZ-WIN-00004","Audit Kerberos Authentication Service",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogon_AuditKerberosAuthenticationService","Integer","3",,,"Range(0, 3)","Equals(3)",,,"Critical","Domain Controller","Audit Policy"
"AuditKerberosServiceTicketOperations","AZ-WIN-00005","Audit Kerberos Service Ticket Operations",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogon_AuditKerberosServiceTicketOperations","Integer","2",,,"Range(0, 3)","Equals(2)",,,"Critical","Domain Controller","Audit Policy"
"AuditLogoff","CCE-38237-4","Audit Logoff",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogonLogoff_AuditLogoff","Integer","1","1","1","Range(0, 3)","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditLogon","CCE-38036-0","Audit Logon",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogonLogoff_AuditLogon","Integer","3","3","3","Range(0, 3)","Equals(3)","Equals(3)","Equals(3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditMPSSVCRuleLevelPolicyChange","AZ-WIN-00111","Audit MPSSVC Rule-Level Policy Change",,,,"./Vendor/MSFT/Policy","Config/Audit/PolicyChange_AuditMPSSVCRuleLevelPolicyChange","Integer","3","3","3","Range(0, 3)","Equals(3)","Equals(3)","Equals(3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditOtherAccountManagementEvents","CCE-37855-4","Audit Other Account Management Events",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountManagement_AuditOtherAccountManagementEvents","Integer","1",,,"Range(0, 3)","OneOf(Equals(1), Equals(3))",,,"Critical","Domain Controller","Audit Policy"
"AuditOtherLogonLogoffEvents","CCE-36322-6","Audit Other Logon/Logoff Events",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogonLogoff_AuditOtherLogonLogoffEvents","Integer","3","3","3","Range(0, 3)","Equals(3)","Equals(3)","Equals(3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditOtherObjectAccessEvents","AZ-WIN-00113","Audit Other Object Access Events",,,,"./Vendor/MSFT/Policy","Config/Audit/ObjectAccess_AuditOtherObjectAccessEvents","Integer","3","3","3","Range(0, 3)","Equals(3)","Equals(3)","Equals(3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditOtherPolicyChangeEvents","AZ-WIN-00114","Audit events generated by other security policy changes that are not audited in the policy change category",,,,"./Vendor/MSFT/Policy","Config/Audit/PolicyChange_AuditOtherPolicyChangeEvents","Integer","2","2","2","Range(0, 3)","OneOf(Equals(2), Equals(3))","OneOf(Equals(2), Equals(3))","OneOf(Equals(2), Equals(3))","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditOtherSystemEvents","CCE-38030-3","Audit Other System Events",,,,"./Vendor/MSFT/Policy","Config/Audit/System_AuditOtherSystemEvents","Integer","3","3","3","Range(0, 3)","Equals(3)","Equals(3)","Equals(3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditPnPExternalDevice","AZ-WIN-00182","Audit when plug and play detects an external device",,,,"./Vendor/MSFT/Policy","Config/Audit/DetailedTracking_AuditPNPActivity","Integer","1","1","1","Range(0, 3)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditPolicyChange","CCE-38028-7","Audit Policy Change",,,,"./Vendor/MSFT/Policy","Config/Audit/PolicyChange_AuditPolicyChange","Integer","1","1","1","Range(0, 3)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditProcessCreatedOrStarted","CCE-36059-4","Audit Events generated when a process is created or starts",,,,"./Vendor/MSFT/Policy","Config/Audit/DetailedTracking_AuditProcessCreation","Integer","1","1","1","Range(0, 3)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditRemovableStorage","CCE-37617-8","Audit Removable Storage",,,,"./Vendor/MSFT/Policy","Config/Audit/ObjectAccess_AuditRemovableStorage","Integer","3","3","3","Range(0, 3)","Equals(3)","Equals(3)","Equals(3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditSecurityGroupManagement","CCE-38034-5","Audit Security Group Management",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountManagement_AuditSecurityGroupManagement","Integer","1","1","1","Range(0, 3)","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditSecurityStateChange","CCE-38114-5","Audit Security State Change",,,,"./Vendor/MSFT/Policy","Config/Audit/System_AuditSecurityStateChange","Integer","1","1","1","Range(0, 3)","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditSecuritySystemExtension","CCE-36144-4","Audit Security System Extension",,,,"./Vendor/MSFT/Policy","Config/Audit/System_AuditSecuritySystemExtension","Integer","1","1","1","Range(0, 3)","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditSensitivePrivilegeUse","CCE-36267-3","Audit Sensitive Privilege Use",,,,"./Vendor/MSFT/Policy","Config/Audit/PrivilegeUse_AuditSensitivePrivilegeUse","Integer","3","3","3","Range(0, 3)","Equals(3)","Equals(3)","Equals(3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditServerDoesNotSupportEncryption",,"Audit server does not support encryption","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanServer","AuditServerDoesNotSupportEncryption","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"AuditServerDoesNotSupportSigning",,"Audit server does not support signing","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanServer","AuditServerDoesNotSupportSigning","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"AuditSettingsIncludeCmdLine","CCE-36925-6","Include command line in process creation events","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Audit","ProcessCreationIncludeCmdLine_Enabled","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"AuditSpecialLogon","CCE-36266-5","Audit Special Logon",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogonLogoff_AuditSpecialLogon","Integer","1","1","1","Range(0, 3)","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditSystemIntegrity","CCE-37132-8","Audit System Integrity",,,,"./Vendor/MSFT/Policy","Config/Audit/System_AuditSystemIntegrity","Integer","3","3","3","Range(0, 3)","Equals(3)","Equals(3)","Equals(3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditUserAccountManagement","CCE-37856-2","Audit User Account Management",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountManagement_AuditUserAccountManagement","Integer","3","3","3","Range(0, 3)","Equals(3)","Equals(3)","Equals(3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AutoplayDisallowAutoplayForNonVolumeDevices","CCE-37636-8","Disallow Autoplay for non-volume devices","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Explorer","NoAutoplayfornonVolume","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"AutoplaySetDefaultAutoRunBehavior","CCE-38217-6","Set the default behavior for AutoRun","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer","NoAutorun","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"AutoplayTurnOffAutoPlay","CCE-36875-3","Turn off Autoplay","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer","NoDriveTypeAutoRun","REG_DWORD",,,,"255","255","255","OneOf(Equals(181), Equals(255))","Equals(255)","Equals(255)","Equals(255)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"BehaviorOfTheElevationPromptForAdministrators","CCE-37029-6","User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","ConsentPromptBehaviorAdmin","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/UserAccountControl_BehaviorOfTheElevationPromptForAdministrators","Integer","2","2","2","Range(0, 5)","Range(1, 2)","Range(1, 2)","Range(1, 2)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"BehaviorOfTheElevationPromptForStandardUsers","CCE-36864-7","User Account Control: Behavior of the elevation prompt for standard users","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","ConsentPromptBehaviorUser","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/UserAccountControl_BehaviorOfTheElevationPromptForStandardUsers","Integer","0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"BlockConsumerMicrosoftAccounts","AZ-WIN-20198","Block all consumer Microsoft account user authentication","HKLM:\SOFTWARE\Policies\Microsoft\MicrosoftAccount","DisableUserAuth","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"BlockNetbiosDiscovery",,"Block NetBIOS-based discovery for domain controller location","HKLM:\SOFTWARE\Policies\Microsoft\Netlogon\Parameters","BlockNetbiosDiscovery","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"BlockNTLM",,"Block NTLM (LM NTLM NTLMv2)","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","BlockNTLM","REG_DWORD",,,,"0","0","0","Range(0, 1)","Range(0, 1)","Range(0, 1)","Range(0, 1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"BlockNTLMServerExceptionList",,"Block NTLM Server Exception List","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","BlockNTLMServerExceptionList","REG_MULTI_SZ",,,,"''","''","''",,"OneOf(Equals(''), Equals(null))","OneOf(Equals(''), Equals(null))","OneOf(Equals(''), Equals(null))","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"ClearVirtualMemoryPageFile","AZ-WIN-00181","Shutdown: Clear virtual memory pagefile","HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager\Memory Management","ClearPageFileAtShutdown","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/Shutdown_ClearVirtualMemoryPageFile","Integer",,"0","0","Range(0, 1)",,"OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"ConfigureDNSClientNETBIOS",,"Configure NetBIOS settings","HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\DNSClient","EnableNetbios","REG_DWORD",,,,"0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"ConfigureKernelShadowStacksLaunch",,"Turn On Virtualization Based Security | KernelShadowStackLaunch","HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard","ConfigureKernelShadowStacksLaunch","REG_DWORD",,,,"2","2","2","Range(0, 3)","Range(1, 2)","Range(1, 2)","Range(1, 2)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"ConfigureSMBV1ClientDriver","AZ-WIN-00150","Configure SMB v1 client driver","HKLM:\SYSTEM\CurrentControlSet\Services\MrxSmb10","Start","REG_DWORD",,,,"4","4","4","Range(0, 4)","Equals(4)","Equals(4)","Equals(4)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"ConfigureSMBV1Server","AZ-WIN-00175","Disable SMB v1 server","HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters","SMB1","REG_DWORD",,,,"0","0","0","Range(0, 1)","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"ConnectivityDisableDownloadingOfPrintDriversOverHTTP","CCE-36625-2","Turn off downloading of print drivers over HTTP","HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Printers","DisableWebPnPDownload","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"ConnectivityProhibitInstallationAndConfigurationOfNetworkBridge","CCE-38002-2","Prohibit installation and configuration of Network Bridge on your DNS domain network","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Network Connections","NC_AllowNetBridge_NLA","REG_DWORD",,,,"0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"CredentialProvidersAllowPINLogon","CCE-37528-7","Turn on convenience PIN sign-in","HKLM:\SOFTWARE\Policies\Microsoft\Windows\System","AllowDomainPINLogon","REG_DWORD",,,,"0","0","0","Range(0, 1)","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
