"Name","ExtraId","Control Name","Registry Key","Registry Value","CSP Name","CSP Path(s)","Data Type","Default Value: Domain Controller","Default Value: Member Server","Default Value: Workgroup Member","Allowed Value","Severity","Availability","Category"
"AllowUIAccessApplicationsToPromptForElevation","CCE-36863-9","User Account Control: Allow UIAccess applications to prompt for elevation without using the secure desktop","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","EnableUIADesktopToggle","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/UserAccountControl_AllowUIAccessApplicationsToPromptForElevation","Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"AmountOfIdleTimeRequiredBeforeSuspendingSession","CCE-38046-9","Microsoft network server: Amount of idle time required before suspending session","HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters","AutoDisconnect","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/MicrosoftNetworkServer_AmountOfIdleTimeRequiredBeforeSuspendingSession","Number","15","15","15","Range(1, 15)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"AppCompatAppCompatTurnOffProgramInventory","AZ-WIN-73543","The Application Compatibility Program Inventory must be prevented from collecting data and sending the information to Microsoft.","HKLM:\SOFTWARE\Policies\Microsoft\Windows\AppCompat","DisableInventory",,,"Number","1","1","1","Range(0, 1)","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"ApplicationIdentityStartupType",,"Application Identity","HKLM:\SYSTEM\CurrentControlSet\Services\AppIDSvc","Start",,,"Number","2","2","2","Range(0, 3)","Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"ApplicationManagementMSIAllowUserControlOverInstall","CCE-36400-0","Allow user control over installs","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Installer","EnableUserControl","./Vendor/MSFT/Policy","Config/ApplicationManagement/MSIAllowUserControlOverInstall","Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"ApplicationManagementMSIAlwaysInstallWithElevatedPrivileges","CCE-37490-0","Always install with elevated privileges","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Installer","AlwaysInstallElevated","./Vendor/MSFT/Policy","Config/ApplicationManagement/MSIAlwaysInstallWithElevatedPrivileges","Number","0","0","0","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"ApplyUACRestrictionsToLocalAccountsOnNetworkLogon",,"Apply UAC restrictions to local accounts on network logons","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","LocalAccountTokenFilterPolicy",,,"Number",,"0",,"Range(0, 1)","Critical","Member Server","Registry"
"AppRuntimeAllowMicrosoftAccountsToBeOptional","CCE-38354-7","Allow Microsoft accounts to be optional","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","MSAOptional",,,"Number","1","1","1","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"AuditAccountLockout","CCE-37133-6","Audit Account Lockout",,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogonLogoff_AuditAccountLockout","Number","2","2","2","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditAuthenticationPolicyChange","CCE-38327-3","Audit Authentication Policy Change",,,"./Vendor/MSFT/Policy","Config/Audit/PolicyChange_AuditAuthenticationPolicyChange","Number","1","1","1","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditAuthorizationPolicyChange","CCE-36320-0","Audit Authorization Policy Change",,,"./Vendor/MSFT/Policy","Config/Audit/PolicyChange_AuditAuthorizationPolicyChange","Number","1","1","1","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditBackupAndRestorePrivilege",,"Audit: Audit the use of Backup and Restore privilege","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa","FullPrivilegeAuditing","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/Audit_AuditTheUseOfBackupAndRestoreprivilege","Binary","MDA=","MDA=","MDA=","OneOf(Equals('MDA='), Equals('MQ=='))","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"AuditChangeCategoryOther","AZ-WIN-00114","Audit events generated by other security policy changes that are not audited in the policy change category",,,"./Vendor/MSFT/Policy","Config/Audit/PolicyChange_AuditOtherPolicyChangeEvents","Number","2","2","2","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditClientDoesNotSupportEncryption",,"Audit client does not support encryption","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanServer","AuditClientDoesNotSupportEncryption",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"AuditClientDoesNotSupportSigning",,"Audit client does not support signing","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanServer","AuditClientDoesNotSupportSigning",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"AuditComputerAccountManagement","CCE-38004-8","Audit Computer Account Management",,,"./Vendor/MSFT/Policy","Config/Audit/AccountManagement_AuditComputerAccountManagement","Number","1",,,"Range(0, 3)","Critical","Domain Controller","Audit Policy"
"AuditCredentialValidation","CCE-37741-6","Audit Credential Validation",,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogon_AuditCredentialValidation","Number","3","3","3","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditDetailedFileShare","AZ-WIN-00100","Audit Detailed File Share",,,"./Vendor/MSFT/Policy","Config/Audit/ObjectAccess_AuditDetailedFileShare","Number","2","2","2","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditDirectoryServiceAccess","CCE-37433-0","Audit Directory Service Access",,,"./Vendor/MSFT/Policy","Config/Audit/DSAccess_AuditDirectoryServiceAccess","Number","2",,,"Range(0, 3)","Critical","Domain Controller","Audit Policy"
"AuditDirectoryServiceChanges","CCE-37616-0","Audit Directory Service Changes",,,"./Vendor/MSFT/Policy","Config/Audit/DSAccess_AuditDirectoryServiceChanges","Number","1",,,"Range(0, 3)","Critical","Domain Controller","Audit Policy"
"AuditDirectoryServiceReplication","AZ-WIN-00093","Audit Directory Service Replication",,,"./Vendor/MSFT/Policy","Config/Audit/DSAccess_AuditDirectoryServiceReplication","Number","0",,,"Range(0, 3)","Critical","Domain Controller","Audit Policy"
"AuditDistributionGroupManagement","CCE-36265-7","Audit Distribution Group Management",,,"./Vendor/MSFT/Policy","Config/Audit/AccountManagement_AuditDistributionGroupManagement","Number","1",,,"Range(0, 3)","Critical","Domain Controller","Audit Policy"
"AuditFileShare","AZ-WIN-00102","Audit File Share",,,"./Vendor/MSFT/Policy","Config/Audit/ObjectAccess_AuditFileShare","Number","3","3","3","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditGroupMembership","AZ-WIN-00026","Audit Group Membership",,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogonLogoff_AuditGroupMembership","Number","1","1","1","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditInsecureGuestLogon",,"Audit insecure guest logon","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanServer","AuditInsecureGuestLogon",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"AuditIPsecDriver","CCE-37853-9","Audit IPsec Driver",,,"./Vendor/MSFT/Policy","Config/Audit/System_AuditIPsecDriver","Number","3","3","3","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditKerberosAuthenticationService","AZ-WIN-00004","Audit Kerberos Authentication Service",,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogon_AuditKerberosAuthenticationService","Number","3",,,"Range(0, 3)","Critical","Domain Controller","Audit Policy"
"AuditKerberosServiceTicketOperations",,"Audit Kerberos Service Ticket Operations",,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogon_AuditKerberosServiceTicketOperations","Number","2",,,"Range(0, 3)","Critical","Domain Controller","Audit Policy"
"AuditLogoff","CCE-38237-4","Audit Logoff",,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogonLogoff_AuditLogoff","Number","1","1","1","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditLogon","CCE-38036-0","Audit Logon",,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogonLogoff_AuditLogon","Number","3","3","3","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditMPSSVCRuleLevelPolicyChange","AZ-WIN-00111","Audit MPSSVC Rule-Level Policy Change",,,"./Vendor/MSFT/Policy","Config/Audit/PolicyChange_AuditMPSSVCRuleLevelPolicyChange","Number","3","3","3","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditOtherAccountManagementEvents","CCE-37855-4","Audit Other Account Management Events",,,"./Vendor/MSFT/Policy","Config/Audit/AccountManagement_AuditOtherAccountManagementEvents","Number","1",,,"Range(0, 3)","Critical","Domain Controller","Audit Policy"
"AuditOtherLogonLogoffEvents","CCE-36322-6","Audit Other Logon/Logoff Events",,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogonLogoff_AuditOtherLogonLogoffEvents","Number","3","3","3","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditOtherObjectAccessEvents","AZ-WIN-00113","Audit Other Object Access Events",,,"./Vendor/MSFT/Policy","Config/Audit/ObjectAccess_AuditOtherObjectAccessEvents","Number","3","3","3","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditOtherSystemEvents","CCE-38030-3","Audit Other System Events",,,"./Vendor/MSFT/Policy","Config/Audit/System_AuditOtherSystemEvents","Number","3","3","3","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditPnPExternalDevice","AZ-WIN-00182","Audit when plug and play detects an external device",,,"./Vendor/MSFT/Policy","Config/Audit/DetailedTracking_AuditPNPActivity","Number","3","3","3","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditPolicyChange","CCE-38028-7","Audit Policy Change",,,"./Vendor/MSFT/Policy","Config/Audit/PolicyChange_AuditPolicyChange","Number","3","3","3","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditProcessCreatedOrStarted","CCE-36059-4","Audit events generated when a process is created or starts",,,"./Vendor/MSFT/Policy","Config/Audit/DetailedTracking_AuditProcessCreation","Number","3","3","3","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditRemovableStorage","CCE-37617-8","Audit Removable Storage",,,"./Vendor/MSFT/Policy","Config/Audit/ObjectAccess_AuditRemovableStorage","Number","3","3","3","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditSecurityGroupManagement","CCE-38034-5","Audit Security Group Management",,,"./Vendor/MSFT/Policy","Config/Audit/AccountManagement_AuditSecurityGroupManagement","Number","1","1","1","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditSecurityStateChange","CCE-38114-5","Audit Security State Change",,,"./Vendor/MSFT/Policy","Config/Audit/System_AuditSecurityStateChange","Number","1","1","1","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditSecuritySystemExtension","CCE-36144-4","Audit Security System Extension",,,"./Vendor/MSFT/Policy","Config/Audit/System_AuditSecuritySystemExtension","Number","1","1","1","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditSensitivePrivilegeUse","CCE-36267-3","Audit Sensitive Privilege Use",,,"./Vendor/MSFT/Policy","Config/Audit/PrivilegeUse_AuditSensitivePrivilegeUse","Number","3","3","3","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditServerDoesNotSupportEncryption",,"Audit server does not support encryption","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","AuditServerDoesNotSupportEncryption",,,"Number","1","1","1","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"AuditServerDoesNotSupportSigning",,"Audit server does not support signing","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","AuditServerDoesNotSupportSigning",,,"Number","1","1","1","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"AuditSettingsIncludeCmdLine","CCE-36925-6","Include command line in process creation events","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Audit","ProcessCreationIncludeCmdLine_Enabled",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"AuditSpecialLogon","CCE-36266-5","Audit Special Logon",,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogonLogoff_AuditSpecialLogon","Number","1","1","1","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditSystemIntegrity","CCE-37132-8","Audit System Integrity",,,"./Vendor/MSFT/Policy","Config/Audit/System_AuditSystemIntegrity","Number","3","3","3","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AuditUserAccountManagement","CCE-37856-2","Audit User Account Management",,,"./Vendor/MSFT/Policy","Config/Audit/AccountManagement_AuditUserAccountManagement","Number","3","3","3","Range(0, 3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy"
"AutoplayDisallowAutoplayForNonVolumeDevices","CCE-37636-8","Disallow Autoplay for non-volume devices","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Explorer","NoAutoplayfornonVolume",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"AutoplaySetDefaultAutoRunBehavior","CCE-38217-6","Set the default behavior for AutoRun","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer","NoAutorun",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"AutoplayTurnOffAutoPlay","CCE-36875-3","Turn off Autoplay","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer","NoDriveTypeAutoRun",,,"Number","255","255","255","OneOf(Equals(181), Equals(255))","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"BehaviorOfTheElevationPromptForAdministrators","CCE-37029-6","User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","ConsentPromptBehaviorAdmin","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/UserAccountControl_BehaviorOfTheElevationPromptForAdministrators","Number","2","2","2","Range(0, 5)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"BehaviorOfTheElevationPromptForStandardUsers","CCE-36864-7","User Account Control: Behavior of the elevation prompt for standard users","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","ConsentPromptBehaviorUser","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/UserAccountControl_BehaviorOfTheElevationPromptForStandardUsers","Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"BlockConsumerMicrosoftAccounts","AZ-WIN-20198","Block all consumer Microsoft account user authentication","HKLM:\SOFTWARE\Policies\Microsoft\MicrosoftAccount","DisableUserAuth",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"BlockNetbiosDiscovery",,"Block NetBIOS-based discovery for domain controller location","HKLM:\SOFTWARE\Policies\Microsoft\Netlogon\Parameters","BlockNetbiosDiscovery",,,"Number","1","1","1","Range(0, 1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"BlockNTLM",,"Block NTLM (LM NTLM NTLMv2)","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","BlockNTLM",,,"Number","0","0","0","Range(0, 1)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
"BlockNTLMServerExceptionList",,"Block NTLM Server Exception List","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","BlockNTLMServerExceptionList",,,"MultiString",,,,,"Informational","Domain Controller, Member Server, Workgroup Member","Registry"
"ClearVirtualMemoryPageFile","AZ-WIN-00181","Shutdown: Clear virtual memory pagefile","HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager\Memory Management","ClearPageFileAtShutdown","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/Shutdown_ClearVirtualMemoryPageFile","Number",,"0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options"
"ConfigureKernelShadowStacksLaunch",,"Turn On Virtualization Based Security | KernelShadowStackLaunch","HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard","ConfigureKernelShadowStacksLaunch",,,"Number","2","2","2","Range(0, 3)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"ConfigureSMBV1ClientDriver",,"Configure SMB v1 client driver","HKLM:\SYSTEM\CurrentControlSet\Services\MrxSmb10","Start",,,"Number","4","4","4","Range(0, 4)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"ConfigureSMBV1Server","AZ-WIN-00175","Disable SMB v1 server","HKLM:\SYSTEM\CurrentControlSet\Services\LanManServer\Parameters","SMB1",,,"Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"ConnectivityDisableDownloadingOfPrintDriversOverHTTP","CCE-36625-2","Turn off downloading of print drivers over HTTP","HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Printers","DisableWebPnPDownload",,,"Number","1","1","1","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"ConnectivityProhibitInstallationAndConfigurationOfNetworkBridge","CCE-38002-2","Prohibit installation and configuration of Network Bridge on your DNS domain network","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Network Connections","NC_AllowNetBridge_NLA",,,"Number","0","0","0","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"CredentialProvidersAllowPINLogon","CCE-37528-7","Turn on convenience PIN sign-in","HKLM:\SOFTWARE\Policies\Microsoft\Windows\System","AllowDomainPINLogon",,,"Number","0","0","0","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"CredentialsDelegationRemoteHostAllowsDelegationOfNonExportableCredentials","AZ-WIN-20199","Remote host allows delegation of non-exportable credentials","HKLM:\SOFTWARE\Policies\Microsoft\Windows\CredentialsDelegation","AllowProtectedCreds",,,"Number","1","1","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"CredentialsUIDisablePasswordReveal","CCE-37534-5","Do not display the password reveal button","HKLM:\SOFTWARE\Policies\Microsoft\Windows\CredUI","DisablePasswordReveal",,,"Number","1","1","1","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"CredentialsUIEnumerateAdministrators","CCE-36512-2","Enumerate administrator accounts on elevation","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\CredUI","EnumerateAdministrators",,,"Number","0","0","0","Range(0, 1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry"
"CredSspAllowEncryptionOracle","AZ-WIN-201910","Encryption Oracle Remediation for CredSSP protocol","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\CredSSP\Parameters","AllowEncryptionOracle",,,"Number","0","0","0","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"CryptographyAllowedKerberosEncryptionTypes","CCE-37755-6","Network Security: Configure encryption types allowed for Kerberos","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters","SupportedEncryptionTypes",,,"Number","2147483640","2147483640","2147483640","Equals(2147483640)","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"CryptographyEccCurve",,"Set EccCurves in Cryptography Configuration","HKLM:\SOFTWARE\Policies\Microsoft\Cryptography\Configuration\SSL\00010002","EccCurves",,,"MultiString","NistP256,NistP384","NistP256,NistP384","NistP256,NistP384","ContainsAtMost('curve25519','NistP256','NistP384')","Critical","Domain Controller, Member Server, Workgroup Member","Registry"
"CryptographyForceStrongKeyProtection","AZ-WIN-73699","Users must be required to enter a password to access private keys stored on the computer.","HKLM:\SOFTWARE\Policies\Microsoft\Cryptography","ForceKeyProtection","./Vendor/MSFT/Policy","Config/Cryptography/ConfigureSystemCryptographyForceStrongKeyProtection","Number","2","2","2","Range(1, 2)","Important","Domain Controller, Member Server, Workgroup Member","Registry"
