"Name","ExtraId","Control Name","Registry Key","Registry Value","Registry Value Type","CSP Name","CSP Path","CSP Value Type","Default Value","Allowed Value","Expected Value","Severity","Availability","Category","Description","CIS RuleID","CIS Control","STIG ID","NIST SP 800-53 Rev 5","Security Impact","Change Risk Level"
"ASRBlockOfficeFromCreatingExecutableContent",,"Block Office applications from creating executable content","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules","3b576869-a4ec-4529-8536-b80a7769e899","REG_DWORD",,,,"0","Range(0, 2)","Equals(0)","Informational","Domain Controller, Member Server, Workgroup Member","Registry","ASR rule that blocks Office applications from creating executable content on disk.","18.10.42.6.1.2","10.5 (IG2)","WNDF-AV-000034","SC-18(4)","Disabling allows Office macros to drop executables to the file system.","Low - Servers rarely run Office; minimal operational impact."
"ASRBlockOfficeFromInjectingCodeIntoProcesses",,"Block Office applications from injecting code into other processes","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules","75668c1f-73b5-4cf0-bb93-3ecf5cb7cc84","REG_DWORD",,,,"0","Range(0, 2)","Equals(0)","Informational","Domain Controller, Member Server, Workgroup Member","Registry","ASR rule that blocks Office applications from injecting code into other processes.","18.10.42.6.1.2","10.5 (IG2)","NA","SI-3, SI-16, CM-7","Disabling allows Office-based process injection attacks.","Low - Servers rarely run Office; minimal operational impact."
"ASRBlockPersistenceThroughWMIEventSubscription",,"Block persistence through WMI event subscription (File and folder exclusions not supported)","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules","e6db77e5-3df2-4cf1-b95a-636979351e5b","REG_DWORD",,,,"2","Range(0, 2)","Equals(2)","Important","Domain Controller, Member Server, Workgroup Member","Registry","ASR rule that blocks persistence mechanisms using WMI event subscriptions, a common living-off-the-land technique.","18.10.42.6.1.2","10.5 (IG2)","WNDF-AV-000048","SC-18(4)","Disabling allows attackers to establish persistent footholds via WMI event subscriptions.","Medium - Blocking may affect legitimate monitoring tools using WMI subscriptions."
"ASRBlockPotentiallyObfuscatedScripts",,"Block execution of potentially obfuscated scripts","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules","5beb7efe-fd9a-4556-801d-275e5ffc04cc","REG_DWORD",,,,"1","Range(0, 2)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","ASR rule that blocks execution of potentially obfuscated scripts, detecting and preventing script-based evasion.","18.10.42.6.1.2","10.5 (IG2)","WNDF-AV-000037","SC-18(4)","Disabling allows obfuscated malicious scripts to execute without inspection.","Medium - May flag legitimate encoded scripts; test in audit mode first."
"ASRBlockProcessCreationFromPSExecAndWMICommands",,"Block process creations originating from PSExec and WMI commands","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules","d1e49aac-8f56-4280-b9ba-993a6d77406c","REG_DWORD",,,,"2","Range(0, 2)","Equals(2)","Important","Domain Controller, Member Server, Workgroup Member","Registry","ASR rule that blocks process creations originating from PSExec and WMI commands. Baseline sets Audit (2) for Azure Local because LCM depends on WMI orchestration.","18.10.42.6.1.2","10.5 (IG2)","WNDF-AV-000047","SC-18(4)","Setting to Block (1) prevents WMI-based remote process creation, breaking lifecycle management orchestration.","High - Setting to Block breaks remote management tools that rely on WMI; keep as Audit on managed servers."
"ASRBlockRebootingMachineInSafeMode",,"Block rebooting machine in Safe Mode (preview)","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules","33ddedf1-c6e0-47cb-833e-de6133960387","REG_DWORD",,,,"2","Range(0, 2)","Equals(2)","Important","Domain Controller, Member Server, Workgroup Member","Registry","ASR rule that blocks processes from rebooting the machine into Safe Mode, preventing attackers from disabling security controls.","18.10.42.6.1.2","10.5 (IG2)","NA","SI-3, CM-7","Disabling allows malware to reboot into Safe Mode where security tools are disabled.","Low - Minimal operational impact; Safe Mode reboots are rarely needed in production."
"ASRBlockUntrustedAndUnsignedProcessesRunningFromUSB",,"Block untrusted and unsigned processes that run from USB","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules","b2b3f03d-6a65-4f7b-a9c7-1c7ef74a9ba4","REG_DWORD",,,,"1","Range(0, 2)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","ASR rule that blocks untrusted and unsigned processes from running from USB removable drives.","18.10.42.6.1.2","10.5 (IG2)","WNDF-AV-000045","SC-18(4)","Disabling allows execution of untrusted code from removable media.","Low - Server environments rarely use USB drives; minimal operational impact."
"ASRBlockUseOfCopiedOrImpersonatedSystemTools",,"Block use of copied or impersonated system tools (preview)","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules","c0033c00-d16d-4114-a5a0-dc9b3a7d2ceb","REG_DWORD",,,,"2","Range(0, 2)","Equals(2)","Important","Domain Controller, Member Server, Workgroup Member","Registry","ASR rule that blocks use of copied or impersonated system tools, preventing living-off-the-land binary (LOLBin) abuse.","18.10.42.6.1.2","10.5 (IG2)","NA","SI-3, CM-7","Disabling allows attackers to use renamed copies of system tools to evade detection.","Medium - May affect legitimate admin tools if they copy system binaries; test in audit mode."
"ASRBlockWebshellCreationForServers",,"Block Webshell creation for Servers","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules","a8f5898e-1dc8-49a9-9878-85004b8a61e6","REG_DWORD",,,,"1","Range(0, 2)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","ASR rule that blocks webshell creation on servers, preventing web-based backdoor deployment.","18.10.42.6.1.2","10.5 (IG2)","NA","SI-3, CM-7, SC-7","Disabling allows creation of webshell files that provide persistent remote access to attackers.","High - Critical server protection; webshells are a primary post-exploitation technique."
"ASRBlockWIN32APIFromOfficeMacros",,"Block Win32 API calls from Office macros","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules","92e97fa1-2edf-4476-bdd6-9dd0b4dddc7b","REG_DWORD",,,,"0","Range(0, 2)","Equals(0)","Informational","Domain Controller, Member Server, Workgroup Member","Registry","ASR rule that blocks Win32 API calls from Office macros, preventing advanced macro-based attacks.","18.10.42.6.1.2","10.5 (IG2)","NA","SI-3, CM-7","Disabling allows Office macros to call Win32 APIs for system-level operations.","Low - Servers rarely run Office macros; minimal operational impact."
"ASRUseAdvancedProtectionAgainstRansomware",,"Use advanced protection against ransomware","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules","c1db55ab-c21a-4637-bb3f-a12568109d35","REG_DWORD",,,,"1","Range(0, 2)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","ASR rule that enables advanced heuristic protection against ransomware behavior patterns.","18.10.42.6.1.2","10.5 (IG2)","WNDF-AV-000046","SC-18(4)","Disabling removes ransomware-specific behavioral detection, relying only on signature-based protection.","High - Critical anti-ransomware layer; disabling significantly increases ransomware risk."
"AttackSurfaceReductionRules","AZ-WIN-202205","Configure Attack Surface Reduction rules","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR","ExploitGuard_ASR_Rules","REG_DWORD",,,,"1","Range(0, 1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Master configuration for Attack Surface Reduction rules. Controls whether individual ASR rules are enabled, audited, or disabled.","18.10.42.6.1.1","10.5 (IG2)","NA","SI-3, CM-7, CM-6","Disabling removes all ASR protections at once, eliminating a critical defense-in-depth layer.","High - Master switch for all ASR rules; disabling removes multiple security protections simultaneously."
"DisableAntiSpyware",,"Turn off Microsoft Defender AntiVirus","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender","DisableAntiSpyware","REG_DWORD",,,,"0","Range(0, 1)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Controls whether Microsoft Defender Antivirus is enabled. Must be 0 (enabled) to provide antimalware protection.","NA","NA","WNDF-AV-000004","SI-3","Enabling this setting (value 1) completely disables Microsoft Defender AV, removing all malware protection.","High - Disabling the antivirus engine removes all real-time and scan-based malware protection."
"DisableAutoExclusions",,"Turn off Auto Exclusions","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Exclusions","DisableAutoExclusions","REG_DWORD",,,,"0","Range(0, 1)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Controls automatic exclusions for server roles. When enabled, Defender automatically excludes files/paths for detected server roles.","NA","NA","WNDF-AV-000007","SI-3","Disabling auto-exclusions may cause performance impact on server workloads or false positives on role-specific files.","Low - Auto-exclusions are a performance optimization; disabling increases scan coverage but may impact performance."
"DisableBehaviorMonitoring",,"Turn on behavior monitoring","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection","DisableBehaviorMonitoring","REG_DWORD",,,,"0","Range(0, 1)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Controls real-time behavior monitoring for suspicious process activity patterns.","18.10.42.10.4","10.7 (IG2)","WNDF-AV-000016","SC-18(4)","Disabling removes behavioral detection of fileless malware and living-off-the-land attacks.","High - Behavioral monitoring catches threats that signature-based detection misses."
"DisableBlockAtFirstSeen",,"Configure the 'Block at First Sight' feature","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\SpyNet","DisableBlockAtFirstSeen","REG_DWORD",,,,"0","Range(0, 1)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Controls Block at First Seen (BAFS), which uses cloud intelligence to block new malware within seconds of first detection.","NA","NA","NA","SI-3, SI-4","Disabling removes rapid cloud-based verdict for unknown files, increasing window of exposure to zero-day threats.","Medium - Requires cloud connectivity; disconnected environments cannot use this feature."
"DisableEmailScanning",,"Turn on e-mail scanning","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Scan","DisableEmailScanning","REG_DWORD",,,,"0","Range(0, 1)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Controls scanning of email files (PST, DBX, MBX) by the Defender scan engine.","18.10.42.13.5","10.1 (IG1)","WNDF-AV-000027","SC-18(4)","Disabling prevents detection of malware stored in email archives on the server.","Low - Most servers do not store email locally; impact depends on workload."
"DisableIOAVProtection",,"Scan all downloaded files and attachments","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection","DisableIOAVProtection","REG_DWORD",,,,"0","Range(0, 1)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Controls scanning of all downloaded files and attachments (IOAV = Internet Originated Attachment/Volume).","18.10.42.10.2","10.1 (IG1)","WNDF-AV-000015","SC-18(3)","Disabling removes automatic scanning of files downloaded from the internet.","Medium - Important for servers that download content; less relevant for isolated infrastructure."
"DisableRealtimeMonitoring",,"Turn off real-time protection","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection","DisableRealtimeMonitoring","REG_DWORD",,,,"0","Range(0, 1)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Controls real-time file access scanning. Must be 0 (enabled) for continuous malware protection.","18.10.42.10.3","10.1 (IG1)","WNDF-AV-000021","SI-3","Disabling removes all real-time file scanning, allowing malware to execute without detection.","High - Real-time protection is the primary defense layer; disabling creates critical exposure."
"DisableRemovableDriveScanning",,"Scan removable drives","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Scan","DisableRemovableDriveScanning","REG_DWORD",,,,"0","Range(0, 1)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Controls scanning of removable drives (USB) during full scans.","18.10.42.13.3","10.4 (IG2)","WNDF-AV-000025","MA-3(2)","Disabling prevents detection of malware on removable media during scans.","Low - Server environments rarely use removable drives; minimal impact."
"DisableRoutinelyTakingAction",,"Turn off routine remediation","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender","DisableRoutinelyTakingAction","REG_DWORD",,,,"0","Range(0, 1)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Controls whether Defender automatically remediates detected threats or requires manual action.","NA","NA","WNDF-AV-000003","SI-3","Enabling prevents automatic remediation, leaving detected threats active until manually addressed.","Medium - Manual remediation increases response time; automatic action is preferred for servers."
"DisableScanOnUpdate",,"Turn on scan after security intelligence update","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Signature Updates","DisableScanOnUpdate","REG_DWORD",,,,"0","Range(0, 1)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Controls whether a scan is triggered after a security intelligence (signature) update.","NA","NA","WNDF-AV-000065","SI-3","Disabling prevents immediate scanning with new signatures, delaying detection of newly-identified threats.","Low - Scheduled scans still occur; post-update scan is an additional detection opportunity."
"DisableScriptScanning",,"Turn on script scanning","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection","DisableScriptScanning","REG_DWORD",,,,"0","Range(0, 1)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Controls real-time scanning of scripts (PowerShell, VBScript, JavaScript) during execution.","18.10.42.10.5","10.7 (IG2)","WNDF-AV-000064","SI-3","Disabling removes script-level malware detection, a critical vector for fileless attacks.","High - Script scanning is essential for detecting PowerShell-based attacks on servers."
"DisallowExploitProtectionOverride",,"Prevent users from modifying settings","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender Security Center\App and Browser protection","DisallowExploitProtectionOverride","REG_DWORD",,,,"1","Range(0, 1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Prevents users from modifying Exploit Protection settings, ensuring centrally managed mitigations remain enforced.","NA","NA","NA","CM-6, CM-7, SI-16","Allowing overrides lets users weaken exploit mitigations on individual applications.","Low - Administrative setting; minimal operational impact."
"EnableConvertWarnToBlock",,"Convert warn verdict to block","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\NIS","EnableConvertWarnToBlock","REG_DWORD",,,,"0","Range(0, 1)","Equals(0)","Important","Domain Controller, Member Server, Workgroup Member","Registry","Converts Network Protection warn verdicts to block actions, enforcing stricter network filtering.","NA","NA","WNDF-AV-000074","SC-18(4)","Disabling allows users to bypass network protection warnings and access potentially malicious sites.","Low - Strengthens network protection; minimal operational impact on servers."
"EngineRing",,"Select the channel for Microsoft Defender monthly engine updates","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender","EngineRing","REG_DWORD",,,,"5","OneOf(Equals(2),Equals(3),Equals(4),Equals(5),Equals(6))","OneOf(Equals(5),Equals(6))","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Controls the update ring for the Defender antimalware engine, determining how quickly engine updates are received.","NA","NA","NA","SI-2, SI-3","Changing to a slower ring delays engine updates, potentially missing protection improvements.","Low - Update ring selection is an operational choice; production servers typically use stable ring."
"HideExclusionsFromLocalAdmins",,"Control whether or not exclusions are visible to Local Admins","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender","HideExclusionsFromLocalAdmins","REG_DWORD",,,,"1","Range(0, 1)","Equals(1)","Important","Domain Controller, Member Server, Workgroup Member","Registry","Hides configured scan exclusions from local administrators, preventing exclusion discovery for evasion.","NA","NA","NA","SI-3, AC-6, CM-6","Showing exclusions allows attackers to discover safe paths for placing malware.","Medium - Security hardening; may complicate legitimate troubleshooting of exclusion issues."
"HideExclusionsFromLocalUsers",,"Control whether exclusions are visible to local users","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender","HideExclusionsFromLocalUsers","REG_DWORD",,,,"1","Range(0, 1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Hides configured scan exclusions from standard users, preventing exclusion discovery.","NA","NA","NA","SI-3, AC-6, CM-6","Showing exclusions to users allows potential discovery of unmonitored paths.","Low - Standard users should not see security configuration details."
"LocalSettingOverrideSpynetReporting",,"Configure local setting override for reporting to Microsoft MAPS","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\SpyNet","LocalSettingOverrideSpynetReporting","REG_DWORD",,,,"0","Range(0, 1)","Equals(0)","Important","Domain Controller, Member Server, Workgroup Member","Registry","Controls whether local policy can override cloud protection (MAPS) reporting settings.","NA","NA","WNDF-AV-000008","SC-18(4)","Allowing local overrides lets individual machines opt out of cloud-based threat intelligence sharing.","Low - Administrative enforcement setting; minimal operational impact."
"MpCloudBlockLevel",,"Select cloud protection level","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\MpEngine","MpCloudBlockLevel","REG_DWORD",,,,"2","OneOf(Equals(0)Equals(1),Equals(2),Equals(4),Equals(6))","OneOf(Equals(2),Equals(4),Equals(6))","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Sets the aggressiveness of cloud-based blocking. Higher levels increase detection but may cause more false positives.","NA","NA","WNDF-AV-000073","SC-18(4)","Lowering the cloud block level reduces detection of emerging threats from cloud intelligence.","Medium - Higher levels may cause false positives; balance with workload requirements."
"OobeEnableRtpAndSigUpdate",,"Configure real-time protection and Security Intelligence Updates during OOBE","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection","OobeEnableRtpAndSigUpdate","REG_DWORD",,,,"1","Range(0, 1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Enables real-time protection and signature updates during the Out of Box Experience (OOBE), ensuring protection from first boot.","18.10.42.10.1","10.1 (IG1)","WNDF-AV-000065","SI-3","Disabling leaves the system unprotected during initial setup, creating a window of vulnerability.","Low - Only affects initial deployment; production servers are past OOBE."
"PlatformRing",,"Select the channel for Microsoft Defender monthly platform updates","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender","PlatformRing","REG_DWORD",,,,"5","OneOf(Equals(2),Equals(3),Equals(4),Equals(5),Equals(6))","OneOf(Equals(5),Equals(6))","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Controls the update ring for the Defender platform, determining how quickly platform updates are received.","NA","NA","NA","SI-2, SI-3","Changing to a slower ring delays platform updates and new feature availability.","Low - Update ring selection is an operational choice."
"PUAProtection",,"Configure detection for potentially unwanted applications","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender","PUAProtection","REG_DWORD",,,,"1","OneOf(Equals(0),Equals(1),Equals(2))","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Enables detection and blocking of Potentially Unwanted Applications (PUA) such as adware and bundleware.","18.10.42.16","10.1 (IG1)","WNDF-AV-000001","SI-3","Disabling allows PUA software to install without detection or blocking.","Low - PUA is less relevant on servers but provides defense-in-depth."
"QuickScanIncludeExclusions",,"Scan excluded files and directories during quick scans","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Scan","QuickScanIncludeExclusions","REG_DWORD",,,,"1","Range(0, 1)","Equals(1)","Important","Domain Controller, Member Server, Workgroup Member","Registry","Controls whether quick scans also scan files in exclusion paths, providing additional coverage.","18.10.42.13.1","10.1 (IG1)","WNDF-AV-000007","SI-3","Excluding these paths from quick scans reduces scan coverage.","Low - Quick scan scope adjustment; full scans still cover all paths."
"SchedulerRandomizationTime",,"Configure scheduled task times randomization window","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender","SchedulerRandomizationTime","REG_DWORD",,,,"4","Range(0, 23)","Range(1, 4)","Important","Domain Controller, Member Server, Workgroup Member","Registry","Sets the randomization window (in hours) for scheduled scan start times to avoid all machines scanning simultaneously.","NA","NA","WNDF-AV-000026","SI-3","No randomization causes all machines to scan at the same time, potentially causing resource spikes.","Low - Performance optimization; no security impact."
"SignaturesRing",,"Select the channel for Microsoft Defender daily security intelligence updates","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender","SignaturesRing","REG_DWORD",,,,"5","OneOf(Equals(4),Equals(5))","Equals(5)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Controls the update ring for signature/security intelligence updates.","NA","NA","WNDF-AV-000013","SC-18(3)","Slower ring delays signature updates, increasing the window of exposure to newly identified threats.","Low - Update ring selection; production typically uses stable ring."
"SpynetReporting",,"Join Microsoft MAPS","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\SpyNet","SpynetReporting","REG_DWORD",,,,"2","Range(0, 2)","Equals(2)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Controls Microsoft MAPS (cloud protection) membership level. Advanced membership provides enhanced cloud-based protection.","NA","NA","WNDF-AV-000010","SC-18(4)","Disabling MAPS removes cloud-based threat intelligence, relying only on local signatures.","Medium - Cloud intelligence significantly improves detection; required for Block at First Seen."
"SubmitSamplesConsent",,"Send file samples when further analysis is required","HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\SpyNet","SubmitSamplesConsent","REG_DWORD",,,,"1","Range(0, 3)","OneOf(Equals(1),Equals(3))","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Controls automatic sample submission to Microsoft for cloud analysis. Safe samples (no PII) are sent by default.","NA","NA","WNDF-AV-000011","SC-18(4)","Disabling prevents cloud-based deep analysis of suspicious files.","Medium - Required for full cloud protection; disconnected environments cannot use this."
