"Name","ExtraId","Control Name","Registry Key","Registry Value","Registry Value Type","CSP Name","CSP Path","CSP Value Type","Default Value: Domain Controller","Default Value: Member Server","Default Value: Workgroup Member","Allowed Value","Expected Value: Domain Controller","Expected Value: Member Server","Expected Value: Workgroup Member","Severity","Availability","Category","Description","CIS RuleID","CIS Control","STIG ID","NIST SP 800-53 Rev 5","Security Impact","Change Risk Level"
"AllowUIAccessApplicationsToPromptForElevation","CCE-36863-9","User Account Control: Allow UIAccess applications to prompt for elevation without using the secure desktop","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","EnableUIADesktopToggle","REG_DWORD","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/UserAccountControl_AllowUIAccessApplicationsToPromptForElevation","Integer","0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Security Options","Configures 'User Account Control: Allow UIAccess applications to prompt for elevation without using the secure desktop' per security baseline requirements to enforce organizational security policy.","2.3.17.2","Not Mapped","WN25-SO-000390","SC-3","User Account Control control 'User Account Control: Allow UIAccess applications to prompt for elevation without using the secure desktop'. Maintains admin-approval elevation, secure-desktop prompting, installer detection, or token filtering that constrains silent privilege elevation by malware.","Low - Standard UAC posture; rarely affects well-behaved applications."
"AppCompatTurnOffProgramInventory","AZ-WIN-73543","Turn off Inventory Collector","HKLM:\SOFTWARE\Policies\Microsoft\Windows\AppCompat","DisableInventory","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Informational","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Turn off Inventory Collector' per security baseline requirements to enforce organizational security policy.","NA","NA","WN25-CC-000200","CM-7","Disables the Application Inventory Collector, stopping background inventory data collection and transmission.","Low - Telemetry/inventory reduction; minimal functional impact."
"AppInstallerExperimentalFeatures","TBD","Enable App Installer Experimental Features","HKLM:\SOFTWARE\Policies\Microsoft\Windows\AppInstaller","EnableExperimentalFeatures","REG_DWORD",,,,"0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Important","Domain Controller, Member Server, Workgroup Member","Registry","Prevents App Installer from enabling experimental features that may introduce untested or insecure functionality.","18.10.18.2","4.8 (IG2, IG3)","NA","CM-6, CM-7","Disables App Installer experimental features, preventing use of unsupported, less-vetted installation behaviors.","Low - Validate any reliance on experimental winget features."
"AppInstallerHashOverridesBypasses","TBD","Enable App Installer Hash Override","HKLM:\SOFTWARE\Policies\Microsoft\Windows\AppInstaller","EnableHashOverride","REG_DWORD",,,,"0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Prevents App Installer from bypassing hash validation checks, ensuring package integrity verification.","18.10.18.3","4.8 (IG2, IG3)","NA","CM-6, SI-7","App Installer hardening 'Enable App Installer Hash Override'. The baseline disables experimental/override/protocol features that allow unsigned, unscanned, or protocol-launched package installs, reducing a software-delivery vector for malware.","Low - Restricts App Installer features; validate any winget/ms-appinstaller deployment workflows."
"AppInstallerLocalMalwareScanOverride","TBD","Enable App Installer Local Archive Malware Scan Override","HKLM:\SOFTWARE\Policies\Microsoft\Windows\AppInstaller","EnableLocalArchiveMalwareScanOverride","REG_DWORD",,,,"0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Important","Domain Controller, Member Server, Workgroup Member","Registry","Prevents App Installer from bypassing local archive malware scans.","18.10.18.4","4.8 (IG2, IG3)","NA","CM-6, SI-3","App Installer hardening 'Enable App Installer Local Archive Malware Scan Override'. The baseline disables experimental/override/protocol features that allow unsigned, unscanned, or protocol-launched package installs, reducing a software-delivery vector for malware.","Low - Restricts App Installer features; validate any winget/ms-appinstaller deployment workflows."
"AppInstallerMSAppinstallerProtocol","TBD","Enable App Installer ms-appinstaller protocol","HKLM:\SOFTWARE\Policies\Microsoft\Windows\AppInstaller","EnableMSAppInstallerProtocol","REG_DWORD",,,,"0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Important","Domain Controller, Member Server, Workgroup Member","Registry","Disables the ms-appinstaller protocol handler, preventing direct app installation from web links.","18.10.18.5","4.8 (IG2, IG3)","NA","CM-6, CM-7","App Installer hardening 'Enable App Installer ms-appinstaller protocol'. The baseline disables experimental/override/protocol features that allow unsigned, unscanned, or protocol-launched package installs, reducing a software-delivery vector for malware.","Low - Restricts App Installer features; validate any winget/ms-appinstaller deployment workflows."
"AppInstallerMSStoreCertValidationBypass","TBD","Enable App Installer Microsoft Store Source Certificate Validation Bypass","HKLM:\SOFTWARE\Policies\Microsoft\Windows\AppInstaller","EnableBypassCertificatePinningForMicrosoftStore","REG_DWORD",,,,"0","0","0","Range(0, 1)","Equals(0)","Equals(0)","Equals(0)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Prevents bypassing certificate pinning validation for Microsoft Store sources in App Installer.","18.10.18.6","4.8 (IG2, IG3)","NA","SC-12, SI-7","App Installer hardening 'Enable App Installer Microsoft Store Source Certificate Validation Bypass'. The baseline disables experimental/override/protocol features that allow unsigned, unscanned, or protocol-launched package installs, reducing a software-delivery vector for malware.","Low - Restricts App Installer features; validate any winget/ms-appinstaller deployment workflows."
"ApplicationIdentityStartupType",,"Application Identity","HKLM:\SYSTEM\CurrentControlSet\Services\AppIDSvc","Start","REG_DWORD",,,,"2","2","2","Range(0, 3)","Equals(2)","Equals(2)","Equals(2)","Informational","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Application Identity' per security baseline requirements to enforce organizational security policy.","NA","NA","NA","CM-6","Sets the Application Identity (AppID) service to support AppLocker enforcement of application allow-listing.","Low - Enables AppLocker dependency; impact arises only with AppLocker rules."
"AppMgmtMSIAllowUserControl","CCE-36400-0","Allow user control over installs","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Installer","EnableUserControl","REG_DWORD","./Vendor/MSFT/Policy","Config/ApplicationManagement/MSIAllowUserControlOverInstall","Integer","0","0","0","Range(0, 1)","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Allow user control over installs' per security baseline requirements to enforce organizational security policy.","18.10.82.1","Not Mapped","WN25-CC-000420","CM-11(2)","Disables user control over Windows Installer options, preventing standard users from overriding install-time security settings.","Low - Restricts user install choices; validate self-service install needs."
"AppMgmtMSIAlwaysInstallWithElevatedPrivileges","CCE-37490-0","Always install with elevated privileges","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Installer","AlwaysInstallElevated","REG_DWORD","./Vendor/MSFT/Policy","Config/ApplicationManagement/MSIAlwaysInstallWithElevatedPrivileges","Integer","0","0","0","Range(0, 1)","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","OneOf(Equals(0), Equals(null))","Warning","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Always install with elevated privileges' per security baseline requirements to enforce organizational security policy.","18.10.82.2","Not Mapped","WN25-CC-000430","CM-11(2)","Ensures Windows Installer does NOT run packages with elevated privileges for standard users, closing a well-known local privilege-escalation vector.","Low - Standard hardening; only affects per-user elevated MSI installs."
"AppRuntimeAllowMicrosoftAccountsToBeOptional","CCE-38354-7","Allow Microsoft accounts to be optional","HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System","MSAOptional","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Warning","Domain Controller, Member Server, Workgroup Member","Registry","This policy determines whether Microsoft accounts are optional for sign-in and app usage. When enabled, users can choose to use local accounts instead of being forced to use Microsoft accounts. If disabled, Microsoft accounts may be required for certain features or apps.","18.10.6.1 ","5.6 (IG2, IG3)","NA","AC-2","Allows Microsoft Store apps to treat a consumer Microsoft account as optional (value 1), so users can authenticate with managed organizational identities instead of being forced onto a consumer Microsoft account.","Low - May affect Store apps that assume a Microsoft account is available."
"AttachmentsPreserveZoneInfo","TBD","Do not preserve zone information in file attachments","HKLM:\SOFTWARE\Policies\Microsoft\Windows\Attachments\SaveZoneInformation","SaveZoneInformation","REG_DWORD",,,,"2","2","2","Range(1, 2)","Equals(2)","Equals(2)","Equals(2)","Important","Domain Controller, Member Server, Workgroup Member","Registry","Preserves zone information (Mark of the Web) in file attachments to enable downstream security checks.","19.7.5.1","10.5 (IG2, IG3)","WN25-UC-000010","CM-6","Preserves Mark-of-the-Web zone information on downloaded attachments (baseline does NOT discard it), so SmartScreen/Office protected-view can act on web-origin files.","Low - Standard hardening; minimal impact."
"AuditAccountLockout","CCE-37133-6","Audit Account Lockout",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogonLogoff_AuditAccountLockout","Integer","2","2","2","Range(0, 3)","OneOf(Equals(2), Equals(3))","OneOf(Equals(2), Equals(3))","OneOf(Equals(2), Equals(3))","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy","Configures auditing for Account Lockout events to enable detection and investigation of security-relevant activities.","17.5.1","8.5 (IG2, IG3)","WN25-AU-000150","AC-2(4), AU-12","Generates Windows Security audit events for 'Account Lockout'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditAuthenticationPolicyChange","CCE-38327-3","Audit Authentication Policy Change",,,,"./Vendor/MSFT/Policy","Config/Audit/PolicyChange_AuditAuthenticationPolicyChange","Integer","1","1","1","Range(0, 3)","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","Warning","Domain Controller, Member Server, Workgroup Member","Audit Policy","Configures auditing for Authentication Policy Change events to enable detection and investigation of security-relevant activities.","17.7.2","8.5 (IG2, IG3)","WN25-AU-000280","AC-6(9), AU-12","Generates Windows Security audit events for 'Authentication Policy Change'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditAuthorizationPolicyChange","CCE-36320-0","Audit Authorization Policy Change",,,,"./Vendor/MSFT/Policy","Config/Audit/PolicyChange_AuditAuthorizationPolicyChange","Integer","1","1","1","Range(0, 3)","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","OneOf(Equals(1), Equals(3))","Warning","Domain Controller, Member Server, Workgroup Member","Audit Policy","Configures auditing for Authorization Policy Change events to enable detection and investigation of security-relevant activities.","17.7.3","8.5 (IG2, IG3)","WN25-AU-000281","AC-6(9), AU-12","Generates Windows Security audit events for 'Authorization Policy Change'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditBackupAndRestorePrivilege",,"Audit the use of Backup and Restore privilege","HKLM:\SYSTEM\CurrentControlSet\Control\Lsa","FullPrivilegeAuditing","REG_BINARY","./Vendor/MSFT/Policy","Config/LocalPoliciesSecurityOptions/Audit_AuditTheUseOfBackupAndRestoreprivilege","Binary","MDA=","MDA=","MDA=","OneOf(Equals('MDA='), Equals('MQ=='))","OneOf(Equals('MDA='), Equals('AA=='))","OneOf(Equals('MDA='), Equals('AA=='))","OneOf(Equals('MDA='), Equals('AA=='))","Critical","Domain Controller, Member Server, Workgroup Member","Security Options","Configures 'Audit the use of Backup and Restore privilege' per security baseline requirements to enforce organizational security policy.","NA","NA","NA","AC-6, AU-12, AU-2, CP-9","Generates Windows Security audit events for 'the use of Backup and Restore privilege'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditClientDoesNotSupportEncryption",,"Audit client does not support encryption","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanServer","AuditClientDoesNotSupportEncryption","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Audit client does not support encryption' per security baseline requirements to enforce organizational security policy.","18.6.7.1","8.5 (IG2, IG3)","NA","AU-12, AU-2, SC-13, SC-28","Generates Windows Security audit events for 'client does not support encryption'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditClientDoesNotSupportSigning",,"Audit client does not support signing","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanServer","AuditClientDoesNotSupportSigning","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Audit client does not support signing' per security baseline requirements to enforce organizational security policy.","18.6.7.2","8.5 (IG2, IG3)","NA","AU-12, AU-2","Generates Windows Security audit events for 'client does not support signing'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditComputerAccountManagement","CCE-38004-8","Audit Computer Account Management",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountManagement_AuditComputerAccountManagement","Integer","1",,,"Range(0, 3)","OneOf(Equals(1), Equals(3))",,,"Warning","Domain Controller","Audit Policy","Configures auditing for Computer Account Management events to enable detection and investigation of security-relevant activities.","17.2.2","8.5 (IG2, IG3)","WN25-DC-000230","AC-2(4), AU-12","Generates Windows Security audit events for 'Computer Account Management'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditCredentialValidation","CCE-37741-6","Audit Credential Validation",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogon_AuditCredentialValidation","Integer","3","3","3","Range(0, 3)","Equals(3)","Equals(3)","Equals(3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy","Configures auditing for Credential Validation events to enable detection and investigation of security-relevant activities.","17.1.1","8.5 (IG2, IG3)","WN25-AU-000070","AU-12","Generates Windows Security audit events for 'Credential Validation'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditDetailedFileShare","AZ-WIN-00100","Audit Detailed File Share",,,,"./Vendor/MSFT/Policy","Config/Audit/ObjectAccess_AuditDetailedFileShare","Integer","2","2","2","Range(0, 3)","OneOf(Equals(2), Equals(3))","OneOf(Equals(2), Equals(3))","OneOf(Equals(2), Equals(3))","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy","Configures auditing for Detailed File Share events to enable detection and investigation of security-relevant activities.","17.6.1","8.5 (IG2, IG3)","NA","AU-12, AU-2","Generates Windows Security audit events for 'Detailed File Share'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditDirectoryServiceAccess","CCE-37433-0","Audit Directory Service Access",,,,"./Vendor/MSFT/Policy","Config/Audit/DSAccess_AuditDirectoryServiceAccess","Integer","2",,,"Range(0, 3)","OneOf(Equals(2), Equals(3))",,,"Warning","Domain Controller","Audit Policy","Configures auditing for Directory Service Access events to enable detection and investigation of security-relevant activities.","17.4.1","8.5 (IG2, IG3)","WN25-DC-000240","AC-6(9), AU-12","Generates Windows Security audit events for 'Directory Service Access'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditDirectoryServiceChanges","CCE-37616-0","Audit Directory Service Changes",,,,"./Vendor/MSFT/Policy","Config/Audit/DSAccess_AuditDirectoryServiceChanges","Integer","1",,,"Range(0, 3)","OneOf(Equals(1), Equals(3))",,,"Warning","Domain Controller","Audit Policy","Configures auditing for Directory Service Changes events to enable detection and investigation of security-relevant activities.","17.4.2","8.5 (IG2, IG3)","WN25-DC-000260","AC-6(9), AU-12","Generates Windows Security audit events for 'Directory Service Changes'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditDirectoryServiceReplication","AZ-WIN-00093","Audit Directory Service Replication",,,,"./Vendor/MSFT/Policy","Config/Audit/DSAccess_AuditDirectoryServiceReplication","Integer","0",,,"Range(0, 1)","Range(0, 1)",,,"Informational","Domain Controller","Audit Policy","Configures auditing for Directory Service Replication events to enable detection and investigation of security-relevant activities.","17.4.1","8.5 (IG2, IG3)","WN25-DC-000140","SC-13","Generates Windows Security audit events for 'Directory Service Replication'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditDistributionGroupManagement","CCE-36265-7","Audit Distribution Group Management",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountManagement_AuditDistributionGroupManagement","Integer","1",,,"Range(0, 3)","OneOf(Equals(1), Equals(3))",,,"Warning","Domain Controller","Audit Policy","Configures auditing for Distribution Group Management events to enable detection and investigation of security-relevant activities.","17.2.3","8.5 (IG2, IG3)","WN25-AU-000100","AC-2(4), AU-12","Generates Windows Security audit events for 'Distribution Group Management'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditFileShare","AZ-WIN-00102","Audit File Share",,,,"./Vendor/MSFT/Policy","Config/Audit/ObjectAccess_AuditFileShare","Integer","3","3","3","Range(0, 3)","Equals(3)","Equals(3)","Equals(3)","Critical","Domain Controller, Member Server, Workgroup Member","Audit Policy","Configures auditing for File Share events to enable detection and investigation of security-relevant activities.","17.6.2","8.5 (IG2, IG3)","NA","AU-12, AU-2","Generates Windows Security audit events for 'File Share'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditGroupMembership","AZ-WIN-00026","Audit Group Membership",,,,"./Vendor/MSFT/Policy","Config/Audit/AccountLogonLogoff_AuditGroupMembership","Integer","1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Informational","Domain Controller, Member Server, Workgroup Member","Audit Policy","Configures auditing for Group Membership events to enable detection and investigation of security-relevant activities.","17.5.2","8.5 (IG2, IG3)","WN25-AU-000170","AU-12","Generates Windows Security audit events for 'Group Membership'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditInsecureGuestLogonServer",,"Audit Insecure guest logon (Lanman Server)","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanServer","AuditInsecureGuestLogon","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Audit Insecure guest logon' per security baseline requirements to enforce organizational security policy.","18.6.7.3","8.5 (IG2, IG3)","NA","AC-2, AC-6, AC-7, AU-12, AU-2","Generates Windows Security audit events for 'Insecure guest logon (Lanman Server)'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
"AuditInsecureGuestLogonWorkstation",,"Audit Insecure guest logon (Lanman Workstation)","HKLM:\SOFTWARE\Policies\Microsoft\Windows\LanmanWorkstation","AuditInsecureGuestLogon","REG_DWORD",,,,"1","1","1","Range(0, 1)","Equals(1)","Equals(1)","Equals(1)","Critical","Domain Controller, Member Server, Workgroup Member","Registry","Configures 'Audit Insecure guest logon' on the Lanman Workstation (SMB client) side. Enables auditing when the SMB client connects using insecure guest authentication.","18.6.8.1","8.5 (IG2, IG3)","NA","AC-2, AC-6, AC-7, AU-12, AU-2","Generates Windows Security audit events for 'Insecure guest logon (Lanman Workstation)'. These records support detection, threat hunting, and post-incident investigation; without them the corresponding activity leaves no native audit trail.","Low - Audit generation only; increases event-log volume, no functional change."
